"REF_DATE","GEO","DGUID","Mortgages","Increases and decreases","Type of mortgage","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, non-financial","Residential mortgages, uninsured","Dollars","81","millions","6","v36426","1.2.13.4","0","","","","0"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, non-financial","Non-residential, non-farm mortgages","Dollars","81","millions","6","v36441","1.2.13.6","0","","","","0"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, non-financial","Non-residential, farm mortgages","Dollars","81","millions","6","v36456","1.2.13.7","0","","","","0"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Non-residents","Total, mortgages","Dollars","81","millions","6","v36476","1.2.14.1","0","","","","0"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Non-residents","Residential mortgages, insured","Dollars","81","millions","6","v36491","1.2.14.3","0","","","","0"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Non-residents","Residential mortgages, uninsured","Dollars","81","millions","6","v36427","1.2.14.4","0","","","","0"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Non-residents","Non-residential, non-farm mortgages","Dollars","81","millions","6","v36442","1.2.14.6","0","","","","0"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Non-residents","Non-residential, farm mortgages","Dollars","81","millions","6","v36457","1.2.14.7","0","","","","0"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Other decreases","Total, mortgages","Dollars","81","millions","6","v36477","1.2.15.1","211","","","","0"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Other decreases","Residential mortgages, insured","Dollars","81","millions","6","v36492","1.2.15.3","120","","","","0"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Other decreases","Residential mortgages, uninsured","Dollars","81","millions","6","v36428","1.2.15.4","85","","","","0"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Other decreases","Non-residential, non-farm mortgages","Dollars","81","millions","6","v36443","1.2.15.6","7","","","","0"
"1982-01","Canada","2016A000011124","Mortgages in Canada outstanding","Other decreases","Non-residential, farm mortgages","Dollars","81","millions","6","v36458","1.2.15.7","0","","","","0"
"1982-01","Canada","2016A000011124","Mortgage loans outside Canada outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36459","1.3.1.1","590","","","","0"
"1982-01","Canada","2016A000011124","Allowance for credit losses","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36462","1.4.1.1","12","","","","0"
"1982-04","Canada","2016A000011124","Total, mortgage loans outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36421","1.1.1.1","31986","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Total, increases and decreases","Total, mortgages","Dollars","81","millions","6","v36463","1.2.1.1","31265","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Total, increases and decreases","Residential mortgages, insured","Dollars","81","millions","6","v36478","1.2.1.3","17159","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Total, increases and decreases","Residential mortgages, uninsured","Dollars","81","millions","6","v36493","1.2.1.4","11748","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Total, increases and decreases","Non-residential, non-farm mortgages","Dollars","81","millions","6","v36429","1.2.1.6","1588","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Total, increases and decreases","Non-residential, farm mortgages","Dollars","81","millions","6","v36444","1.2.1.7","770","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Gross increase","Total, mortgages","Dollars","81","millions","6","v36464","1.2.2.1","1551","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Gross increase","Residential mortgages, insured","Dollars","81","millions","6","v36479","1.2.2.3","523","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Gross increase","Residential mortgages, uninsured","Dollars","81","millions","6","v36494","1.2.2.4","802","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Gross increase","Non-residential, non-farm mortgages","Dollars","81","millions","6","v36430","1.2.2.6","113","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Gross increase","Non-residential, farm mortgages","Dollars","81","millions","6","v36445","1.2.2.7","112","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Cash disbursement of principal","Total, mortgages","Dollars","81","millions","6","v36465","1.2.3.1","1302","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Cash disbursement of principal","Residential mortgages, insured","Dollars","81","millions","6","v36480","1.2.3.3","415","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Cash disbursement of principal","Residential mortgages, uninsured","Dollars","81","millions","6","v36495","1.2.3.4","718","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Cash disbursement of principal","Non-residential, non-farm mortgages","Dollars","81","millions","6","v36431","1.2.3.6","73","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Cash disbursement of principal","Non-residential, farm mortgages","Dollars","81","millions","6","v36446","1.2.3.7","96","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Purchases of mortgages from","Total, mortgages","Dollars","81","millions","6","v36466","1.2.4.1","35","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Purchases of mortgages from","Residential mortgages, insured","Dollars","81","millions","6","v36481","1.2.4.3","24","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Purchases of mortgages from","Residential mortgages, uninsured","Dollars","81","millions","6","v36496","1.2.4.4","11","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Purchases of mortgages from","Non-residential, non-farm mortgages","Dollars","81","millions","6","v36432","1.2.4.6","1","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Purchases of mortgages from","Non-residential, farm mortgages","Dollars","81","millions","6","v36447","1.2.4.7","0","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Total, mortgages","Dollars","81","millions","6","v36467","1.2.5.1","15","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, insured","Dollars","81","millions","6","v36482","1.2.5.3","8","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Residential mortgages, uninsured","Dollars","81","millions","6","v36497","1.2.5.4","6","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Non-residential, non-farm mortgages","Dollars","81","millions","6","v36433","1.2.5.6","1","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, financial","Non-residential, farm mortgages","Dollars","81","millions","6","v36448","1.2.5.7","0","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, non-financial","Total, mortgages","Dollars","81","millions","6","v36468","1.2.6.1","21","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, non-financial","Residential mortgages, insured","Dollars","81","millions","6","v36483","1.2.6.3","16","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, non-financial","Residential mortgages, uninsured","Dollars","81","millions","6","v36498","1.2.6.4","4","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, non-financial","Non-residential, non-farm mortgages","Dollars","81","millions","6","v36434","1.2.6.6","0","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Residents, non-financial","Non-residential, farm mortgages","Dollars","81","millions","6","v36449","1.2.6.7","0","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Non-residents","Total, mortgages","Dollars","81","millions","6","v36469","1.2.7.1","0","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Non-residents","Residential mortgages, insured","Dollars","81","millions","6","v36484","1.2.7.3","0","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Non-residents","Residential mortgages, uninsured","Dollars","81","millions","6","v36499","1.2.7.4","0","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Non-residents","Non-residential, non-farm mortgages","Dollars","81","millions","6","v36435","1.2.7.6","0","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Non-residents","Non-residential, farm mortgages","Dollars","81","millions","6","v36450","1.2.7.7","0","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Other increases","Total, mortgages","Dollars","81","millions","6","v36470","1.2.8.1","213","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Other increases","Residential mortgages, insured","Dollars","81","millions","6","v36485","1.2.8.3","84","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Other increases","Residential mortgages, uninsured","Dollars","81","millions","6","v36500","1.2.8.4","74","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Other increases","Non-residential, non-farm mortgages","Dollars","81","millions","6","v36436","1.2.8.6","40","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Other increases","Non-residential, farm mortgages","Dollars","81","millions","6","v36451","1.2.8.7","16","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Gross decrease","Total, mortgages","Dollars","81","millions","6","v36471","1.2.9.1","1423","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Gross decrease","Residential mortgages, insured","Dollars","81","millions","6","v36486","1.2.9.3","787","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Gross decrease","Residential mortgages, uninsured","Dollars","81","millions","6","v36422","1.2.9.4","539","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Gross decrease","Non-residential, non-farm mortgages","Dollars","81","millions","6","v36437","1.2.9.6","72","","","","0"
"1982-04","Canada","2016A000011124","Mortgages in Canada outstanding","Gross decrease","Non-residential, farm mortgages","Dollars","81","millions","6","v36452","1.2.9.7","25","","","","0"
